填写表,负责人,英文 key,中文字段,类型,要求,说明与校验,格式示例（非真实）,可选值
01_房源挂牌,产品 A,snapshot_id,挂牌快照 ID,text,必填,本表唯一且稳定；不得因为改价格复用同一个快照 ID。,DEMO-LS-001,
01_房源挂牌,产品 A,listing_id,挂牌 ID,text,必填,同一平台同一挂牌使用同一 ID；不同平台挂牌不要仅凭相似描述合并。,DEMO-L-001,
01_房源挂牌,产品 A,property_id,内部房屋 ID,text,选填,只有可靠证据识别同一物理房屋时才跨记录共用；无法识别留空。,DEMO-P-001,
01_房源挂牌,产品 A,title,房源标题,text,必填,可复用来源标题；不得加入未披露的地段、设施或景观承诺。,演示公寓 A,
01_房源挂牌,产品 A,area_name,区域或社区,text,必填,沿用来源名称；不同来源别名由产品给映射，不自行视为同一区域。,DEMO-AREA,
01_房源挂牌,产品 A,building_name,楼宇或项目名称,text,选填,来源中的楼宇/项目名称；同楼不等于同一套房。,DEMO-BUILDING,
01_房源挂牌,产品 A,unit_ref,单元或房屋标识,text,选填,仅填来源可靠披露且可用于此 Demo 的单元标识；没有则留空。,DEMO-UNIT-01,
01_房源挂牌,产品 A,property_type,物业类型,enum,必填,与现房/期房和挂牌状态分开。,apartment,apartment | villa | townhouse | penthouse | land | other | unknown
01_房源挂牌,产品 A,bedrooms,卧室数,integer,选填,Studio 填 0；未披露留空；不要填“未知”到数值列。,2,
01_房源挂牌,产品 A,area_value,面积数值,number,条件必填,如来源披露面积则填数值，同时填写单位和面积口径。,120,
01_房源挂牌,产品 A,area_unit,面积单位,enum,条件必填,有面积数值必须填单位；开发端可换算但不能静默改变面积口径。,sqm,sqm | sqft
01_房源挂牌,产品 A,area_basis,面积口径,enum,条件必填,有面积数值必须给出口径；不明时填 unknown。,unknown,internal | gross | built_up | land | unknown
01_房源挂牌,产品 A,market_segment,现房或期房,enum,必填,反映物业当前状态，与新挂牌/旧挂牌不同。,ready,ready | off_plan | unknown
01_房源挂牌,产品 A,listing_status,挂牌状态,enum,必填,active 在售；withdrawn 下架；sold 仅有成交证据时使用；下架不能自动判为成交。,active,active | withdrawn | sold | unknown
01_房源挂牌,产品 A,asking_price,挂牌价格,number,条件必填,仅填当前挂牌价；未披露留空。租金不可作为出售价格填入本表。,2000000,
01_房源挂牌,产品 A,currency,价格币种,enum,条件必填,有价格必填，首版按原始币种保留；跨币种比较需要另外提供汇率来源和日期。,AED,AED | USD | EUR | GBP | other
01_房源挂牌,产品 A,listed_at,首次挂牌日期,date,选填,来源未披露则留空，不以首次抓取日期冒充。,示例：2026-09-01,
01_房源挂牌,产品 A,availability_date,可交付或入住日期,date,选填,仅填明确日期；仅有季度/年份时记录到备注，不补造月日。,示例：2026-12-01,
01_房源挂牌,产品 A,amenities,已披露设施与特征,multi_text,选填,多值用 | 分隔，例 pool|parking；客户要求的设施不能反向填成房源已具备。,pool|parking,
01_房源挂牌,产品 A,evidence_excerpt,关键事实证据摘录,text,选填,支持价格、户型、状态等关键字段的简短原文；注明未覆盖字段。,演示格式说明，不是原文证据,
01_房源挂牌,产品 A,data_kind,数据性质,enum,必填,真实公开、真实授权与演示数据必须区分；不能以公开可见替代使用许可。,demo,real_public | real_authorized | demo
01_房源挂牌,产品 A,source_name,来源名称,text,必填,网站、登记机关或授权脱敏资料名称；演示数据填“演示样例”。,演示样例,
01_房源挂牌,产品 A,source_ref,来源链接或资料编号,text,必填,公开数据填可追溯原文 URL；内部资料填脱敏文件编号，不填访问令牌或个人身份信息。,DEMO-SOURCE-001,
01_房源挂牌,产品 A,source_date,来源发布日期,date,选填,仅填原文明确的完整日期；不把采集日期、登记日期或估计日期填在这里。,示例：2026-09-03,
01_房源挂牌,产品 A,captured_at,采集或整理时间,datetime,必填,实际采集/整理时间，采用 ISO 8601 且含时区。,示例：2026-09-03T10:00:00+08:00,
01_房源挂牌,产品 A,verification_status,核验状态,enum,必填,verified 表示产品已核验相应字段；source-backed 不自动意味着可用。,needs_review,verified | needs_review | conflict
01_房源挂牌,产品 A,usage_status,使用许可状态,enum,必填,approved 表示已确认可用于本 Demo；pending 待确认；restricted 不可导入演示。,pending,approved | pending | restricted
